,Tweet_id,sentiment
0,1221883443467952128,Positive
1,1221875106206638080,Positive
2,1221884257490042887,Neutral
3,1221882556548816896,Neutral
4,1227326811652026368,Positive
5,1221881289881550848,Positive
6,1226422627436310528,Positive
7,1221880820815798277,Positive
8,1221884400377499651,Neutral
9,1221881406168731649,Neutral
10,1221882066561830912,Positive
11,1221882259139067911,Neutral
12,1224586865040396288,Neutral
13,1221882047691657217,Neutral
14,1221880371773673474,Neutral
15,1226410076623245313,Neutral
16,1221880330203881473,Positive
17,1221884254025482240,Negative
18,1221880838129881090,Positive
19,1221882386792747008,Neutral
20,1221882659066064896,Neutral
21,1221884473555456000,Negative
22,1226408244018647041,Positive
23,1221881370034823169,Positive
24,1226422334451523585,Positive
25,1221880421392297985,Positive
26,1221884599611072512,Neutral
27,1221883147509551104,Neutral
28,1221883899988541442,Neutral
29,1221881299369103361,Neutral
30,1221884340507942914,Negative
31,1221884808290283522,Neutral
32,1221884605487362048,Neutral
33,1221883580449804288,Positive
34,1224561573869576192,Positive
35,1221883232829964293,Positive
36,1221881503686299649,Positive
37,1221882697955659776,Neutral
38,1221884852032757760,Positive
39,1221885185618259968,Neutral
40,1221782869103775744,Positive
41,1221884368685338624,Negative
42,1221882082227605504,Positive
43,1221884104855248898,Positive
44,1221883485289373697,Negative
45,1221882582788444160,Neutral
46,1221885170153852929,Neutral
47,1221883892497616896,Negative
48,1223409479775064064,Neutral
49,1221881795056226305,Negative
50,1221867394962001921,Neutral
51,1221883191054807040,Neutral
52,1227451426424664068,Negative
53,1221884685111963648,Negative
54,1221881239885565952,Neutral
55,1221884232173346816,Positive
56,1227452474992287751,Positive
57,1221882918911520769,Positive
58,1221882216399212547,Neutral
59,1221882777131540481,Positive
60,1221882184442830849,Positive
61,1221882193728933889,Positive
62,1221820850434990081,Neutral
63,1226425431378874368,Positive
64,1221783013815717895,Positive
65,1221882634663604224,Negative
66,1221884236996775942,Negative
67,1223405995336044545,Neutral
68,1221880773579550720,Positive
69,1221882629684912128,Neutral
70,1221885191268052992,Negative
71,1221882970279174148,Neutral
72,1226409110813466624,Neutral
73,1221858631169314817,Neutral
74,1213619904999501824,Neutral
75,1221882826632695810,Positive
76,1223561886173683712,Neutral
77,1221883033084747777,Positive
78,1226428086318780417,Positive
79,1227324762679963648,Neutral
80,1221877180248002560,Neutral
81,1221864470688997376,Neutral
82,1221882447652171782,Neutral
83,1221884173801181188,Neutral
84,1221884599900549120,Neutral
85,1228686000915963904,Neutral
86,1221884621916385285,Neutral
87,1221881309087379456,Positive
88,1221880298927017984,Negative
89,1221882665294553100,Neutral
90,1221882634441318401,Neutral
91,1227326779964231680,Neutral
92,1221885079833714689,Neutral
93,1221885159747784705,Neutral
94,1221882833242861569,Neutral
95,1227452289004265473,Neutral
96,1221881154657300480,Positive
97,1221882285823315969,Neutral
98,1226423157826957312,Positive
99,1221881394877665280,Neutral
100,1221882517202128897,Negative
101,1221883666797862914,Neutral
102,1221869546547621892,Neutral
103,1221884137029689355,Neutral
104,1227451116142694400,Negative
105,1221882064825470983,Neutral
106,1221884492601810945,Positive
107,1221884357876559872,Neutral
108,1226409144351166465,Neutral
109,1221882023654109184,Neutral
110,1221881056917323777,Neutral
111,1226427736081612802,Negative
112,1221881565053116416,Neutral
113,1221883402875478022,Neutral
114,1221881774822907904,Neutral
115,1221714216807206912,Neutral
116,1221882540342026246,Neutral
117,1221882699419398144,Positive
118,1221632694980878336,Neutral
119,1221882940466106368,Negative
120,1221882181166997506,Positive
121,1221883345442832384,Neutral
122,1221882980001636353,Neutral
123,1221881913599762432,Positive
124,1221883015485448194,Positive
125,1221801457940336641,Neutral
126,1221883783110107140,Positive
127,1221880620164534274,Positive
128,1221884539393527808,Neutral
129,1221882594716942338,Neutral
130,1221883667309572097,Negative
131,1221881037413928960,Positive
132,1221882880328118273,Neutral
133,1221884415560863750,Neutral
134,1221884868751167490,Neutral
135,1220023668933320704,Negative
136,1220022449607188481,Negative
137,1227323060417683458,Positive
138,1221881836089040897,Neutral
139,1221883939289272322,Neutral
140,1221883435570073601,Neutral
141,1221880309597249536,Positive
142,1221882664359276556,Negative
143,1221885265754624003,Neutral
144,1221881364645056517,Neutral
145,1221883858876076032,Neutral
146,1221885004797698050,Neutral
147,1226420696231956480,Neutral
148,1221884295968706568,Negative
149,1221882644050456580,Neutral
150,1221884080159150085,Neutral
151,1226408245260103680,Neutral
152,1221880684781981698,Positive
153,1221884432317145089,Negative
154,1221882062463852545,Neutral
155,1221871961791442945,Neutral
156,1221885176948629504,Neutral
157,1221884736081145856,Negative
158,1221769355433857024,Neutral
159,1221883133664092162,Negative
160,1221885044786106370,Neutral
161,1221873341948157952,Positive
162,1226426850638827520,Neutral
163,1221874307053301761,Negative
164,1227451858396090373,Neutral
165,1221881996261122053,Positive
166,1216116897776881674,Positive
167,1221880935689412608,Neutral
168,1221883456180891648,Positive
169,1227451470397820930,Positive
170,1221884054313881602,Neutral
171,1221883243261300737,Negative
172,1221883751199858690,Neutral
173,1221880885080924160,Neutral
174,1221882546889330690,Neutral
175,1221801160165797890,Negative
176,1221881714223525895,Neutral
177,1221881852966948865,Negative
178,1221881764383285248,Neutral
179,1223409098231832576,Negative
180,1226426667763191808,Neutral
181,1221883510287425536,Neutral
182,1221884407503622145,Neutral
183,1221883496349696000,Neutral
184,1221880706252648449,Neutral
185,1221882242898763778,Negative
186,1221884944575860737,Neutral
187,1221883976891215874,Neutral
188,1221883999834071041,Neutral
189,1226428475864702976,Neutral
190,1221881797342044162,Neutral
191,1221881609135194112,Negative
192,1221881814773587970,Positive
193,1221880892022501382,Neutral
194,1221881245900136451,Neutral
195,1221881401244626945,Neutral
196,1221884624131035138,Positive
197,1221883741070614528,Neutral
198,1228686162551869441,Neutral
199,1227452726768001025,Neutral
200,1221880322712834049,Positive
201,1221882363766022144,Neutral
202,1221668294522015746,Neutral
203,1221882944568090630,Negative
204,1221883326052667399,Positive
205,1221501517796192258,Neutral
206,1221882534050586624,Neutral
207,1221882204214767618,Neutral
208,1221884842792706048,Neutral
209,1221881442327724034,Negative
210,1221881449370083328,Neutral
211,1221884894793564161,Neutral
212,1221885170652979200,Neutral
213,1221717270231244800,Negative
214,1221884884991533056,Negative
215,1221882687096573953,Neutral
216,1221882870022709248,Neutral
217,1221882599892713474,Neutral
218,1221880332405952523,Neutral
219,1221882257666985985,Positive
220,1221884463619235841,Neutral
221,1226425943213907968,Neutral
222,1221883764894326784,Negative
223,1221304700395491328,Neutral
224,1221861501713244161,Neutral
225,1221881116233170944,Neutral
226,1221884718205063168,Negative
227,1221882815677173763,Neutral
228,1221883524489400321,Negative
229,1220990914816024577,Neutral
230,1221881153189285889,Neutral
231,1221884651217866753,Neutral
232,1221883787409330178,Positive
233,1221880405374197769,Negative
234,1226428917633994752,Neutral
235,1221881519792365575,Neutral
236,1221773649759350784,Neutral
237,1221882229099565056,Neutral
238,1221883741435584517,Negative
239,1221881686297907201,Positive
240,1221882847537123328,Neutral
241,1221884636411854849,Positive
242,1221881863490412544,Negative
243,1220992615811813378,Negative
244,1221882364793643010,Neutral
245,1221880435996856322,Positive
246,1221883864051863552,Positive
247,1221885183797932032,Positive
248,1221881853772279808,Negative
249,1221883020883496961,Neutral
250,1221884323370094595,Neutral
251,1221884123360452611,Positive
252,1226406978202804230,Neutral
253,1221884764761870337,Positive
254,1219702138403807232,Neutral
255,1221885146045079552,Negative
256,1224586487095840769,Neutral
257,1221697513545240577,Neutral
258,1221884234849189890,Negative
259,1221880624451067904,Neutral
260,1221885254450995203,Neutral
261,1221881322974650370,Neutral
262,1226409551714496513,Negative
263,1221882789785751552,Neutral
264,1221881888098455552,Neutral
265,1226409477949227008,Neutral
266,1221883112499634176,Neutral
267,1221881487542439936,Neutral
268,1221883677883367426,Neutral
269,1221882397609938945,Negative
270,1221884846122782720,Neutral
271,1221883619943297025,Neutral
272,1221881881592987656,Neutral
273,1221884545290719243,Neutral
274,1221880935194484737,Neutral
275,1221885025567662080,Neutral
276,1221884431851577350,Positive
277,1221881215529164807,Negative
278,1221133322585366528,Neutral
279,1221885150486724609,Neutral
280,1221884199982059520,Neutral
281,1226425443022254080,Positive
282,1221885011890262018,Positive
283,1221883406981718016,Negative
284,1221884453024358400,Negative
285,1221883165062631426,Positive
286,1221881380893810690,Neutral
287,1226428228274991104,Positive
